Keys,"Українська [ua-UA]"
GUI_CONFIRMATION_RETURN_MAINMENU_SCENARIO,"Весь прогрес, досягнутий у цьому раунді, буде втрачено."
GUI_CONFIRMATION_SELL,"Продати {0}"
GUI_CONFIRMATION_SELL_EQUIPPED,"{0} зараз використовується {1}, продати все одно?"
GUI_CONFIRMATION_SELL_RECEIVE,"Отримано:"
GUI_CONFIRMATION_SKIP_FTUE,"Похмура Гавань - дуже складна гра. Рекомендується спочатку пройти навчання."
GUI_CONFIRMATION_SKIP_MISSION,"Похмура Гавань - дуже складна гра. Рекомендується спочатку пройти навчання."
GUI_CONFIRMATION_START_ADVENTURE,"Почати пригоду"
GUI_CONFIRMATION_TURN_OFF_TUTORIAL,"Вимкнувши навчання, ви не зможете продовжити його, якщо не створите нову гру і не почнете все спочатку."
GUI_CONFIRMATION_TURN_OFF_TUTORIAL_MULTIPLAYER,"Почалася багатокористувацька сесія. Це вимкне навчання."
GUI_CONFIRM_ACTION,"Підтвердити дію"
GUI_CONFIRM_ATTACK,"Підтвердити атаку"
GUI_CONFIRM_MOVEMENT,"Підтвердити рух"
GUI_CONFIRM_PULL,"Підтвердити притягання"
GUI_CONFIRM_PUSH,"Підтвердити відштовхування"
GUI_CONFIRM_TARGETS,"Підтвердити ЦІЛІ"
GUI_CONFIRM_USE_ITEM,"Використовувати предмет"
GUI_CONSUME_ELEMENT,"Використовувати {0}"
GUI_CONSUME_ITEMS_TIP,"Виберіть 1 {0} для споживання до початку ходу"
GUI_CONSUME_ITEMS_TITLE,"Вжити 1 {0}"
GUI_CONTINUE,"Продовжити"
GUI_CONTINUE_PERSONAL_QUEST_PROGRESSION,"Продовжити особисте завдання"
GUI_CONTROLLER_CLOSE_GROUP,"Приховати завдання"
GUI_CONTROLLER_EXPAND_GROUP,"Показати завдання"
GUI_CONTROLLER_SELECT_PQ,"Виберіть особисте завдання"
GUI_COPY,"Копіювати"
GUI_CORE_QUEST,"Сюжетне завдання"
GUI_CREATE_CAMPAIGN_ENHANCEMENT,"Посилення здібностей"
GUI_CREATE_CAMPAIGN_ENHANCEMENT_DESCR,"Налаштування поліпшень не можуть бути змінені після запуску кампанії. Обирайте з розумом!"
GUI_CREATE_CAMPAIGN_ENHANCEMENT_ORIGINAL,"Оригінальні"
GUI_CREATE_CAMPAIGN_ENHANCEMENT_VARIANT,"Оновлені"
GUI_CREATE_CHARACTER_CLASS_CARDS,"Початкові карти здібностей"
GUI_CREATE_CHARACTER_CLASS_CONFIRM,"Вибрати клас"
GUI_CREATE_CHARACTER_CLASS_ROSTER_DESCR,"Виберіть клас найманця"
GUI_CREATE_CHARACTER_CLASS_ROSTER_TITLE,"Створити найманця"
GUI_CREATE_CHARACTER_CLASS_TAB,"Клас"
GUI_CREATE_CHARACTER_CONFIRMATION,"{0} приєднався до групи"
GUI_CREATE_CHARACTER_NAME,"Ім'я персонажа"
GUI_CREATE_CHARACTER_NAME_CONFIRM,"Створити найманця"
GUI_CREATE_CHARACTER_NAME_TAB,"Ім'я"
GUI_CREATE_CHARACTER_PERSONAL_QUEST_CONFIRM,"Виберіть особисте завдання"
GUI_CREATE_CHARACTER_PERSONAL_QUEST_HELP,"Особисте завдання найманця - це причина його приєднання до групи.<color=#EACF8C><br>Будьте обережні</color> - щойно це завдання буде завершено - цей найманець піде на спокій і більше не зможе бути використаний."
GUI_CREATE_CHARACTER_PERSONAL_QUEST_HELP_TITLE,"Вибрати особисте завдання"
GUI_CREATE_CHARACTER_PERSONAL_QUEST_TAB,"Особисте завдання"
GUI_CREATE_ERROR_REPORT,"Створити репорт про помилку"
GUI_CREATE_MODCONFIG,"Створити ModConfig"
GUI_CREATE_MODDING,"Створити мод"
GUI_CREATE_MODS_DESC,"Створюйте та керуйте своїми особистими модами і діліться ними зі спільнотою"
GUI_CREATE_MODS_TITLE,"Створити моди"
GUI_CREATE_MOD_CONFIRMATION,"Створити новий мод"
GUI_CREATOR_CLASS_REPEATED_TOOLTIP,"Ви можете мати тільки 1 персонажа кожного класу"
GUI_CREDITS,"Творці"
GUI_CREDITS_PEOPLE,"<font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>креативний директор</color></font><br>Майк Вест<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Виконавчий продюсер</color></font><br>Крейг Оман<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>художній режисер</color></font><br>Ніл Вільямс<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Технічні режисери</color></font><br>Брінн МакКаллах<br>Маркус Лінн<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Головний програміст</color></font><br>Джеймс Пейн<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>UI програміст</color></font><br>Паула Наварро Альфонсо<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>скриптер і програміст</color></font><br>Міша Колборн<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Процедурний програміст генерації</color></font><br>Сем Свейн - Apparance Ltd.<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Програміст інструментарію та геймплею</color></font><br>Шон Райт<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Графічний та геймплейний програміст</color></font><br>Віктор Заторський<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Геймплейний програміст</color></font><br>Майкл Вальдо<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Програміст мультіплеєра</color></font><br>Петтері Лампікоскі<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Додаткове програмування</color></font><br>Андрій Бичковський<br>Баррі Монахан<br>Естевао Арантес<br>Кіт Вольф<br>Нед Біркін<br>Павло Конярик<br>Саймон Джордан<br>Тім Шейнман<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Аніматор</color></font><br>Гарі Велч<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Митець оточення</color></font><br>Сергій Білотіл<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Character Artist</color></font></font><br>Річард Хаммонд<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Технічний аніматор</color></font><br>Джаред Емблі<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Лідер з UI-художника</color></font><br>Майкл Санчес<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>UI-художник </color></font><br>Дженні Брюер<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>VFX-художник</color></font><br>Домінікус Райтер<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Додаткова художня підтримка</color></font><br>Ханна Макміллан<br>Марко Ковач<br>Стюарт Макріт<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Концептуальний та 2D художник</color></font><br>Пітер Ламбі<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Додатковий художник-концептуаліст</color></font><br>Джеймс Ферлонг<br>Джейк Гамблтон<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Автор сценарію та дизайнер рівнів</color></font><br>Леон Лінн<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Подробок-дизайнер</color></font><br>Маріо Фернандес Паленсуела (Mario Fernández Palenzuela)<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Асистент продюсера</color></font><br>Ентоні Рів<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Группа з забезпечення якості</color></font><br>Ендрю Статтерс<br>Ентоні Рів<br>Дрю Гарнер<br>Джейсон Гіле<br>Маріо Фернандес Паленсуела<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Додаткове забезпечення якості</color></font><br>Кейл Стокс<br>Коннор Макговерн<br>Коннор Орпін<br>Люк Коалтер<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Додаткова підтримка виробництва</color></font><br>Олівер Бірн<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Додатковий дизайн</color></font><br>Алекс Троуерс<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Композитор</color></font><br>Расс Шоу<br>Сем Бакнелл<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Звуковий дизайн від Cedar Studios Ltd.</color></font><br>Том Путтік<br>Філ Френч<br>Сем Бакнелл<br>Джош Янг<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Character Art</color></font></font><br>Little Red Zombies Studios<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Дослідження користувачів, проведене компанією ""Player Research - Брайтон""</color></font>.<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Особлива подяка</color></font><br>Абрам Конн<br>Адріан Брукс<br>Александер Хосе Зоммерфельдт<br>Олексію 'Cores' Сапунову<br>Олексій Сапунов<br>Аннабелла МакКаллах<br>Аркадій Колборн<br>Брейді Шлю<br>Брендон Девіс<br>Кармен Куеста Кабанес<br>Колін Кеннеді<br>Крістіан Джордано<br>Емілі<br>Gripeaway<br>Ян Салін<br>Джеред Еліель Мюленбрух<br>Джессіка<br>Джон Даннет<br>Джулс Вест<br>Хосе Наварро Монзо<br>Джозеф Вейр<br>Хуліо Фернандес Савіньон<br>Джастін Калхун<br>Лорен Рейнольдс<br>Леслі Оман<br>MandatoryQuest<br>Марія дель Кармен Альфонсо Тормо<br>Майк Вюрфель<br>Михайло Зайцев<br>Мирослав Міхов<br>Моніка Клари<br>Надя Колборн<br>Нік Сікерт<br>Ніколас Віеллард<br>Ніколай Лінге Йоргенсен<br>Панагіотіс Цупідіс<br>Патриція Бичек<br>Філ Колборн<br>Пайпер Оман<br>Рис Ултон<br>Шарон<br>Сільвія Есталл<br>Софі Сандхем<br>Спенсер Пауелл<br>Стефан Клеменс<br>Томас Шеллі<br>Крістіан Геа Родрігес<br>Ерік Пла Ерра<br>Ніколь Де Амброзіо<br>Удо Шмальфус<br>та працьовиті працівники Burger Island<br><br><br><font=""MarcellusSC-Regular SDF""><color=#FF7E9C9FF>Пламенисті улюбленці пламенних птахів</color></font><br>Чарлі Тунець<br>Fiskars*<br>Гризельвальд<br>Гера<br>Інді<br>Kiki Bilouteski<br>Miggle*<br>Оллі<br>Рейнджер<br>Севві<br>Сміджон<br>Свиняча качка<br>Токток*<br>Xispa*<br><br>* Сумно загублений під час розробки, але все ще в наших серцях<br><br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Asmodee Digital</color></font><br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Лінійний продюсер</color></font><br>Жюльєн Секверт<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Лідер лінійного продюсера</color></font><br>Ремі Шиншилла<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Продюсерський директор</color></font><br>Лоран Ліхневський<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Дизайнер гри</color></font></font><br>Максим Антонофф<br>Алексіс Клерк<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Креативний директор</color></font></font><br>Ремі Ганесс<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Бренд-менеджер</color></font><br>Маттьє дю Лак<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Глава департаменту брендів і продуктів</color></font><br>Адрієн Ротондо<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Початковий бренд-менеджер</color></font><br>Ромен Мессер<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Асистент бренд-менеджера</color></font><br>Робін Лафра<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Лідер з маркетингу</color></font><br>Саша Мокке<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Кінематографіст</color></font><br>Сильвен Доллез<br>Луї Дабровскі<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Подробок маркетолога</color></font><br>Ноемі Ардуен<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Директор з маркетингу</color></font><br>Філіп Дао<br>Артур Досне<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Глава операційного відділу</color></font></font><br>Анн-Софі Канель<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Manager of Release</color></font><br>Елен Бертолотті<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Руководитель проекту платформи</color></font></font><br>Мехді Лекехаль<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Диджитал-проект менеджер</color></font></font><br>Елоді Домінгес<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Асистент з цифрового маркетингу</color></font><br>Емма Робін<br>Орелі Лессен<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Комерційний директор</color></font><br>Марі Вольфф<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Ри-менеджер по роботі з громадськістю та інфлюенсерами</color></font><br>Косма Ніколау<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Менеджер з інфлюенсерів</color></font><br>Ален Віраво<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Соціальний та платний медіа-стратег</color></font><br>Семюель Демпсі<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Community Developer</color></font><br>Клара Терратс<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Розробник спільноти</color></font><br>Беатріс Міллеріу Хенріксен<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Руководитель видавничого відділу</color></font><br>Джулі Ле Вакон<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Агент з підтримки клієнтів</color></font><br>П'єр-Ів Руйс<br>Флоріан Марі-Емільєн<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Лідер служби підтримки клієнтів</color></font><br>Максим Крозьє<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Developer BI/DBA</color></font></font><br>Квентін Томас<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Аналітик даних</color></font><br>Арно Лежандр<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Тестер трекінгу</color></font><br>Валентин Санчес де Леон<br>Бенджамін Лутц<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Начальник відділу даних</color></font><br>Александр Давид<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Lead QA</color></font></font><br>Ніколя Дюпон<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Помічник керівника QA</color></font><br>Клер Хоффманн<br>Мédéric Bourdillon<br>Жан-Філіп Мартін<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Тестер QA</color></font></font><br>Сара Брассет<br>Валентин Серрі<br>Олів'є Гарін<br>Себастьєн Вайсрок<br>Орелі Лесесне<br>Франсуа-Чав'є Яконо<br>Людовик Ро<br>Гарлан Чомарат<br>Амелі Перре<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Керівник QA</color></font></font><br>Жан-Батист Кобленс<br><br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Riotloc</color></font><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Локалізаційна кордонізація</color></font></font><br>Володимир Конопліцький<br>Анна Кисельова<br>Олександр Болотін<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Французька локалізація</color></font><br>Ерік Хольвек<br>Беранжер Хольвек<br>Офелі Колін<br>Джонатан П'єр<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Німецька локалізація</color></font><br>Роланд Остінат<br>Лоренц Гоммерс<br>Генріх Ленгардт<br>Ульріх Онкен<br>Гезине Преуссер<br>Ізабель Штернер<br>Констанце Фогль<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Іспанська локалізація</color></font><br>Рамон Мендес<br>Альба Кальво<br>Curri Barceló<br>Хуан Рамон Аседо<br>Еміліо Рос<br>Рубен Моралехо<br>Laia Díez<br>Давид Нейра<br><br><br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Liquid Violet</color></font></font><br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Наратор</color></font></font><br>Алек Ньюман<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Голосові режисери</color></font><br>Розі Джонс<br>Денні Болдвін<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Аудіоінженери</color></font><br>Хейлі Аллен<br>Шон Мохер<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Продюсерство</color></font><br>Джон Юземан<br>Кріс Хопкінс<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Пост-продакшн</color></font><br>Алікс Джонс<br>Кевін Дейві<br>Джеймс Кірк<br>Чарлі Томас<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Cephalofair Games</color></font><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>CEO / Game Designer</color></font></font><br>Айзек Чайлдрес<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Головний операційний директор</color></font><br>Прайс Джонсон<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Графічний дизайн</color></font><br> Джош Макдауелл<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Арт</color></font><br> Олександр Єлічев<br>Альваро Небот<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Скульптура</color></font><br>Джеймс Ван Шайк<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Редагування</color></font><br>Джим Спайві<br>Matthew G. Somers<br>Марсель Квертечка<br><br><font=""MarcellusSC-Regular SDF""><color=#F7E9C9FF>Особлива подяка</color></font><br>Крістін Чайлдрес, Кеті, Фінну, Аді та Корі МакДауелл, Харілаосу<br>Бачаріс, Клінтон Бредфорд, Брендон Батчер, Тревіс Ченс,<br>Джозеф Чілдрес, Роб Давіау, Пол Гроган, Брендон Голл"".<br>""Річард Хем, Каспер Гансен, Уокер Хардін, Чак Хеннеманн,<br>Скотт Гортон, Брайан Хантер, Девід Ісаков, Олександр Клатте, Карл<br>Клуцке, Брайан Лі, Нік Літтл, Кевін Меннінг, Ян Мейберг,<br>Тімо Мультамякі, Рей Пей, Джоан Пратс, Ендрю Рітчі, Адам<br>Сэдлер, Брейді Сэдлер, Ерік Сансон, Скотт Старкі, Джей Сі Тромблі, Арне<br>Віхаген, Майкл Вілкінс, Стефан Заппе, Марсель Квертечка,<br>Тім і Кім Де Смет, Джаред Гіллеспі, Девід Ісаков, Джеремі Кеммер, Метью Дж. Сомерс"
GUI_CREDITS_THANKYOU,"<color=#F1DBAE>щиро дякуємо</color> усій спільноті, яка підтримала нас у ранньому доступі та допомогла нам підготувати Похмуру Гавань до релізу!"
GUI_CURRENT_TURN,"Поточний перебіг"
GUI_CUSTOM_MODS_TITLE,"Користувацькі моди"
GUI_CUSTOM_RULESETS_DESC,"Активуйте моди, щоб застосувати їх до набору правил вашої гри."
GUI_CUSTOM_RULESETS_TITLE,"Свої набори правил"
GUI_DEFAULT_ATTACK,"Атака за замовчуванням"
GUI_DEFAULT_MOVE,"Рух за замовчуванням"
GUI_DELETE,"Видалити"
GUI_DELETE_CHARACTER,"Видалити персонажа"
GUI_DELETE_CHARACTER_CONFIRMATION,"Будь-які предмети, якими володів персонаж, повернуться в магазин, а всі гроші, якими він володів, зникнуть"
GUI_DELETE_PARTY_CONFIRMATION,"Ви точно хочете видалити це збереження?"
GUI_DELETE_WARNING,"Цю дію не можна скасувати. Продовжити?"
GUI_DEVOTION_LEVEL,"Благочестя {0}"
GUI_DEVOTION_TOOLTIP,"<size=+2><color=#EACF8C>благочестя</color></size><br>Пожертвуйте золото Храму Великого Дуба для підвищення рівня благочестя вашої групи."
GUI_DIFFICULTY_BRUTAL,"Шалено"
GUI_DIFFICULTY_DEADLY,"Смертельно"
GUI_DIFFICULTY_DESCR_CAMPAIGN,"Складність може бути змінена в процесі гри"
GUI_DIFFICULTY_DESCR_CAMPAIGN_V2,"Налаштування складності можуть бути змінені під час гри. Їх можна знайти в меню Опцій"
GUI_DIFFICULTY_EASY,"Легко"
GUI_DIFFICULTY_FRIENDLY,"Найлегше"
GUI_DIFFICULTY_HARD,"Важко"
GUI_DIFFICULTY_INSANE,"Шалено"
GUI_DIFFICULTY_NORMAL,"Зазвичай"
GUI_DIFFICULTY_SELECT,"Вибрати складність"
GUI_DISABLE,"Вимкнути"
GUI_DISABLED,"Вимкнено"
GUI_DISCARD_CARD,"Скинути ""{0}"
GUI_DISCARD_CARDS,"Скинути карти"
GUI_DISTRIBUTED_GOLD_POINTS,"<color=#FCC951FF><sprite name=""Gold_Icon_White"" color=#FCC951FF>{0} золота</color> залишилося"
GUI_DISTRIBUTE_ATTACK_MODIFIER,"Виберіть 1 найманця до отримання {0} Модифікаторів"
GUI_DISTRIBUTE_ConsumeItem,"Виберіть найманця, який споживе 1 {0} на початку наступного сценарію"
GUI_DISTRIBUTE_GOLD_CONFIRM,"Розподілити золото"
GUI_DISTRIBUTE_GOLD_POINTS,"<color=#C53F3F><sprite name=""Gold_Icon_White"" color=#C53F3F>{0} золота залишилося"
GUI_DISTRIBUTE_HEALTH,"Перерозподіл очок здоров'я (ОЗ)"
GUI_DISTRIBUTE_HEALTH_POINTS,"<color=#C53F3FFF>перерозподілити <sprite name=""Heal"" color=#C53F3FFF>{0} ОЗ</color>"
GUI_DISTRIBUTE_HEALTH_UNAVAILABLE,"<color=#C53F3FFF>ви не отримали жодних пошкоджень</color>"
GUI_DISTRIBUTE_ITEM,"Прив'язати предмет до найманця"
GUI_DISTRIBUTE_LOSEITEM,"1 Найманець зобов'язаний втратити предмет"
GUI_DISTRIBUTE_SELECT_GAIN,"Виберіть 1 найманця для отримання {0}"
GUI_DISTRIBUTE_SELECT_lose,"Виберіть 1 найманця і він втратить {0}"
GUI_DLC_DESCR,"Доповнення не може бути активоване під час гри. Зрозуміло, його завжди можна буде задіяти пізніше на екрані ""Завантаження""."
GUI_DLC_SELECTOR_DESCR,"Грати в Похмуру гавань із доповненням {0}."
GUI_DLC_SELECTOR_DISABLED_TOOLTIP,"<color=#F1DBAE>{0} - вимкнено</color><br>Додатковий контент {0} зараз вимкнений.<br>Натисніть, щоб увімкнути доповнення і збагатити Похмуру гавань новими матеріалами."
GUI_DLC_SELECTOR_ENABLED_TOOLTIP,"<color=#F1DBAE>{0} - увімкнено</color><br>Додатковий контент {0} зараз активний.<br>Натисніть, щоб вимкнути його і насолоджуватися стандартною Похмурою гаванню."
GUI_DLC_SELECTOR_UNAVAILABLE_TOOLTIP,"<color=#F1DBAE>{0}</color><br>перш ніж налаштовувати додатковий контент вам потрібно придбати доповнення {0}"
GUI_DRAW_CITY_EVENT,"Міська подія"
GUI_DUNGEON_VICTORY,"Вітаємо. Ви перемогли у сценарії."
GUI_DV_CHARACTER_STRENGTHS,"Сила:"
GUI_DV_CHARACTER_WEAKNESSES,"Слабкість:"
GUI_EARLY_ACCESS,"Збірка раннього доступу"
GUI_EARLY_ACCESS_PAGE_1_INFO_1,"Коли зловісна кліка починає знищувати менш щасливих мешканців міста, вам якимось чином доводиться докопуватися до суті.... ну принаймні доти, доки вам за це платять."
GUI_EARLY_ACCESS_PAGE_1_INFO_2,"Набирайте чотирьох нових найманців з унікальним геймплеєм і досліджуйте раніше прихований бік міста Похмурої Гавані через захопливу сюжетну лінію, сповнену безліччю нових ворогів і босів."
GUI_EARLY_ACCESS_PAGE_1_INFO_3,"Доповнення ""Щелепи Лева"" з 4 унікальними найманцями, 25 новими сценаріями, 10 новими ворогами і босами, новими дорожніми подіями і бойовими цілями, а також 10 новими предметами для придбання."
GUI_EARLY_ACCESS_PAGE_1_INFO_4,"Нові сценарії кампанії доповнення розблоковуються безпосередньо на існуючій карті Похмурої гавані, а в режимі Хранителя Гільдії та кампанії ви автоматично знайдете нових персонажів."
GUI_EARLY_ACCESS_PAGE_1_TITLE,"DLC Щелепи лева (версія мода RuHaven v100)"
GUI_EARLY_ACCESS_PAGE_2_INFO_1,"У вас є питання або ви хочете поділитися своїми відгуками?<br>Потрібна допомога в якості нового гравця або ви хочете запросити кількох гравців для багатокористувацької гри?<br><br>Приєднуйтесь до нашого постійно зростаючого співтовариства на Discord, де ви знайдете безліч однодумців, готових допомогти і обговорити, ви також часто будете бачити команду розробників."
GUI_EARLY_ACCESS_PAGE_2_INFO_2,"Натисніть на посилання нижче, щоб приєднатися до нас у соціальних мережах і бути в курсі всіх останніх новин Похмурої Гавані!"
GUI_EARLY_ACCESS_PAGE_2_TITLE,"Приєднуйтесь до спільноти"
GUI_EARLY_ACCESS_PAGE_3_INFO,"Після 2 років у ранньому доступі і з виходом версії 1.0 з режимом Кампанії, ми хотіли б скористатися цією можливістю, щоб подякувати всім нашим гравцям раннього доступу. Кожен із вас так чи інакше зробив свій внесок у кінцевий результат, і ми справді не змогли б цього зробити без вашої допомоги та підтримки.<br><br>Ми пройшли довгий шлях з липня 2019 року, з повністю оновленим режимом Хранителя Гільдії, мультиплеєром, а тепер і Кампанією, не кажучи вже про всіх персонажів, монстрів і предмети, які ми поступово додали! Це був грандіозний проєкт, над яким потрібно було працювати, але ми насолоджувалися кожною його хвилиною завдяки пристрасті та ентузіазму, які ми отримали від спільноти.<br><br>Ми сподіваємося, що зробили так, щоб ви пишалися нами.<br><br>Flaming Fowl Studios"
GUI_EARLY_ACCESS_PAGE_3_TITLE,"Дякую!"
GUI_EARLY_ACCESS_PAGE_4_TITLE,"Туторіал і освоєння гри"
GUI_EARLY_ACCESS_TITLE,"Ласкаво просимо в Похмуру Гавань!"
GUI_EASY,"Легко"
GUI_EDIT,"Налаштування"
GUI_EFFECTS,"Ефекти"
GUI_ELEMENT_AIR,"Повітря"
GUI_ELEMENT_ANY,"Будь-яка"
GUI_ELEMENT_DARK,"Темрява"
GUI_ELEMENT_EARTH,"Земля"
GUI_ELEMENT_FIRE,"Вогонь"
GUI_ELEMENT_ICE,"Лід"
GUI_ELEMENT_INFUSION_CREATED,"Стихію {0} створено!"
GUI_ELEMENT_INFUSION_CREATING,"Підвищується ..."
GUI_ELEMENT_LIGHT,"Світло"
GUI_ELEMENT_STATUS_INERT,"Інертна"
GUI_ELEMENT_STATUS_INFUSING,"Підвищення"
GUI_ELEMENT_STATUS_STRONG,"Сильна"
GUI_ELEMENT_STATUS_WANING,"Середня"
GUI_ENABLE,"Увімкнути"
GUI_ENABLED,"Включено"
GUI_ENABLE_DLC_CONFIRMATION,"Як тільки DLC увімкнено під час збереження, то не можна буде повернутися до своїх попередніх налаштувань."
GUI_ENCHANTMENT_POINTS,"Очок зачарування"
GUI_ENCHANTMENT_POINTS_TOOLTIP,"<size=+2><color=#EACF8C>очки зачарування</color></size><br>Отримуйте очки зачарування <sprite name=""Enchantress_Icon""> щоразу при підвищенні рівня процвітання GH.  Витрачайте ці очки зачарування на поліпшення карт здібностей за вашим вибором. Одного разу поліпшену карту можна поліпшити знову - просто звертайте увагу на кількість доступних осередків поліпшень на карті."
GUI_ENCOUNTER,"Дорожня подія"
GUI_ENCOUNTER_RECEIVED,"Ви отримали"
GUI_END_EXTRA_TURN,"Завершити додатковий хід"
GUI_END_PULL,"Завершити притягування"
GUI_END_PUSH,"Завершити відштовхування"
