Keys,Ukrainian [uk-UA]
PERK_Sunkeeper_03_Desc,"Замінити одну карту <color=""purple"">-2</color> на карту <color=""orange"">+0</color>"
PERK_Sunkeeper_04,"Загострення"
PERK_Sunkeeper_04_Desc,"Замінити одну карту <color=""orange"">+0</color> на карту <color=""orange"">+2</color>"
PERK_Sunkeeper_05,"Техніка"
PERK_Sunkeeper_05_Desc,"Додати дві карти <sprite name=Rolling> <color=""orange"">+1</color>"
PERK_Sunkeeper_06,"Відновлення"
PERK_Sunkeeper_06_Desc,"Додати дві карти <sprite name=Rolling> з ЛІКУВАННЯМ <sprite name=Heal> 1"
PERK_Sunkeeper_07,"Розтрощення"
PERK_Sunkeeper_07_Desc,"Додати одну карту <sprite name=Rolling> з ефектом ОГЛУШЕННЯ <sprite name=Stun>"
PERK_Sunkeeper_08,"Сяйво"
PERK_Sunkeeper_08_Desc,"Додати дві карти <sprite name=Rolling> <sprite name=Light>"
PERK_Sunkeeper_09,"Пригинання"
PERK_Sunkeeper_09_Desc,"Додати дві карти <sprite name=Rolling> ЩИТ <sprite name=Shield> 1 (на себе)"
PERK_Sunkeeper_10,"Екстремальна стійкість"
PERK_Sunkeeper_10_Desc,"Ігнорувати негативні ефекти предметів та додати дві карти <color=""orange"">+1</color>"
PERK_Sunkeeper_11,"Стійкість"
PERK_Sunkeeper_11_Desc,"Ігнорувати негативні ефекти сценарію"
PERK_Tinkerer_01,"Послідовність"
PERK_Tinkerer_01_Desc,"Вилучити дві карти <color=""purple"">-1</color>"
PERK_Tinkerer_02,"Посилення"
PERK_Tinkerer_02_Desc,"Замінити одну карту <color=""purple"">-2</color> на карту <color=""orange"">+0</color>"
PERK_Tinkerer_03,"Сила"
PERK_Tinkerer_03_Desc,"Додати дві карти <color=""orange"">+1</color>"
PERK_Tinkerer_04,"Спалах"
PERK_Tinkerer_04_Desc,"Додати одну карту <color=""orange"">+3</color>"
PERK_Tinkerer_05,"Тліюче вугілля"
PERK_Tinkerer_05_Desc,"Додати дві карти <sprite name=Rolling> <sprite name=Fire>"
PERK_Tinkerer_06,"Збентеження"
PERK_Tinkerer_06_Desc,"Додати три карти <sprite name=Rolling> з ефектом ДЕЗОРІЄНТАЦІЯ <sprite name=Muddle>"
PERK_Tinkerer_07,"Терзання"
PERK_Tinkerer_07_Desc,"Додати одну карту <color=""orange"">+1</color> з ефектом РАНА <sprite name=Wound>"
PERK_Tinkerer_08,"Пута"
PERK_Tinkerer_08_Desc,"Додати одну карту <color=""orange"">+1</color> з ефектом ПАРАЛІЧ <sprite name=Immobilize>"
PERK_Tinkerer_09,"Ремонт"
PERK_Tinkerer_09_Desc,"Додати одну карту <color=""orange"">+1</color> ЛІКУВАННЯ <sprite name=Heal> 2"
PERK_Tinkerer_10,"Розширення"
PERK_Tinkerer_10_Desc,"Додати одну карту <color=""orange"">+0</color> з ефектом ДОДАТИ ЦІЛЬ <sprite name=Target>"
PERK_Tinkerer_11,"Стійкість"
PERK_Tinkerer_11_Desc,"Ігнорувати негативні ефекти сценарію"
PERSONALQUEST_A_Helping_Hand,"Дружня допомога"
PERSONALQUEST_A_Helping_Hand_COMPLETED,"Ніщо не зрівняється з цим теплом, яке розливається по всьому тілу, коли бачиш, як хтось нарешті досягає мети, до якої так довго прагнув, і нарешті розслабляється. Спостерігати за цими змінами в людях ніколи не набридне. Але світ великий, а Похмура Гавань — лише маленька його частина. Попереду ще багато людей, яким потрібна допомога, щоб здійснити свої мрії, і саме ви маєте це зробити. Ви прощаєтеся, і коли знову вирушаєте в дорогу на пошуки знедолених душ, ви не можете не сподіватися, що хтось інший продовжить дарувати тутешнім людям привід співати, танцювати та святкувати."
PERSONALQUEST_A_Helping_Hand_Desc,"<b>Побачити, як 2 інші персонажі виконують свої особисті завдання.</b><br><br>Ви ніколи не прагнули бути в центрі уваги. У світі так багато егоїзму — стільки вихваляння. Ви завжди воліли залишатися в тіні. Здається, у кожного в цьому місті є якась висока й благородна мета. А ви просто раді допомогти."
PERSONALQUEST_A_Helping_Hand_Objective_Desc,"Побачити, як 2 інші персонажі виконують свої особисті завдання"
PERSONALQUEST_A_Helping_Hand_Objective_PROGRESS_TOOLTIP,"Побачено виконань особистих завдань іншими персонажами:"
PERSONALQUEST_A_Helping_Hand_Objective_PROGRESS_TOOLTIP_EMPTY,"Ще не було виконано жодного особистого завдання іншими персонажами."
PERSONALQUEST_A_Study_of_Anatomy,"Вивчення анатомії"
PERSONALQUEST_A_Study_of_Anatomy_COMPLETED,"Захопливо. Абсолютно захопливо. Речі, які ви виявили, нотатки, які ви зробили... ви будете вивчати їх до кінця свого життя. Подумати тільки, для цього вам потрібно було лише спостерігати, як ваші товариші-найманці отримують прочухана на роботі! Ви дякуєте їм за внесок у науку, збираєте речі й вирушаєте додому — попереду у вас ціле життя роботи. Комусь іншому доведеться дбати про їхні медичні потреби, але ви впевнені, що вони скоро впораються!"
PERSONALQUEST_A_Study_of_Anatomy_Desc,"<b>Побачити, як члени вашого загону стають виснаженими 15 разів.</b><br><br>Тіло — це захопливий об'єкт для дослідження: як воно працює, що змушує його рухатися. І є стільки рас для вивчення! Уявіть, якби можна було дослідити анатомію під навантаженням, щоб з'ясувати її межі. Звісно, в університеті є трупи, але вони такі мертві. Найкращий спосіб навчитися — це забруднити руки й відчути все на власному досвіді."
PERSONALQUEST_A_Study_of_Anatomy_Objective_Desc,"Побачити, як члени вашого загону стають виснаженими 15 разів"
PERSONALQUEST_A_Study_of_Anatomy_Objective_PROGRESS_TOOLTIP,"Кількість виснажень членів загону:"
PERSONALQUEST_A_Study_of_Anatomy_Objective_PROGRESS_TOOLTIP_EMPTY,"Члени загону ще жодного разу не ставали виснаженими."
PERSONALQUEST_Aberrant_Slayer,"Вбивця чудовиськ"
PERSONALQUEST_Aberrant_Slayer_COMPLETED,"Борючись із демонами з кожного відомого стихійного виміру, ви засвоїли лише одне: вбивати їх весело, але аж ніяк не ефективно. Якщо ви хочете перемогти в битві з ордами демонів, а не просто продовжувати її, ви повинні знайти спосіб закрити їм шлях у цей світ. Знання, необхідні для такого подвигу, не лежать у Похмурій Гавані, тому ви залишаєте свій загін найманців, щоб вирушити на їх пошуки. А поки що стихійні сили, безперечно, продовжуватимуть проявляти себе в цьому місті..."
PERSONALQUEST_Aberrant_Slayer_Desc,"<b>Убити 1 Вогняного демона, 1 Морозного демона, 1 Демона вітру, 1 Демона землі, 1 Демона ночі та 1 Демона сонця.</b><br><br>З самого народження ви чули історію про давні часи, коли демони бродили по землі й полювали на слабких. Ваші предки відкинули їх назад. Ви завжди думали, що це лише казка — дотепер. Демони реальні, і саме вам належить продовжити цю боротьбу."
PERSONALQUEST_Aberrant_Slayer_Objective_Desc,"Убити по 1 демону кожного типу з базової гри"
PERSONALQUEST_Aberrant_Slayer_Objective_PROGRESS_TOOLTIP,"Убито демонів різних стихій:"
PERSONALQUEST_Aberrant_Slayer_Objective_PROGRESS_TOOLTIP_EMPTY,"Ще не вбито жодного демона."
PERSONALQUEST_Augmented_Abilities,"Посилені здібності"
PERSONALQUEST_Augmented_Abilities_COMPLETED,"Про таку силу ви навіть мріяти не могли. Ви майже впевнені, що можете зробити будь-що, але немає сенсу просто бути впевненим — ви хочете з'ясувати це самі. Настав час покинути Похмуру Гавань із вашими новими здібностями та присвятити життя тому, щоб спробувати все й усюди. Але ви скоро повернетеся: наступного разу, б'ємося об заклад, знайдеться ще більше Естерів, готових за кілька монет розширити ваші можливості."
PERSONALQUEST_Augmented_Abilities_Desc,"<b>Мати 4 покращення (потрібен доступ до Чародійки).</b><br><br>Звісно, Похмура Гавань може бути не найзатишнішим місцем, але це цілком нормально, коли вона має стільки інших переваг. А саме: Естерів. Ви ніколи не бачили їх так багато! Ходять навіть чутки про одного з них у місті, який здатний посилювати людей за допомогою магії. З невеликим покращенням ви зможете досягти успіху в чому завгодно!"
PERSONALQUEST_Augmented_Abilities_Objective_Desc,"Мати 4 покращення (потрібен доступ до Чародійки)"
PERSONALQUEST_Augmented_Abilities_Objective_PROGRESS_TOOLTIP,"Придбано покращень:"
PERSONALQUEST_Augmented_Abilities_Objective_PROGRESS_TOOLTIP_EMPTY,"Ще не придбано жодного покращення."
PERSONALQUEST_Battle_Legend,"Легенда битв"
PERSONALQUEST_Battle_Legend_COMPLETED,"Вас назавжди запам'ятають за речі, які ви зробили, істот, з якими ви боролися, плани, які ви зруйнували... Ви впевнені, що ще не було такого величного найманця, як ви. Щоб утвердити свою легенду, ви повинні продемонструвати свої вміння та розповісти свої історії всьому світу, тому ви залишаєте Похмуру Гавань у пошуках більших битв у далеких країнах. Якщо пощастить, ви навіть зустрінете барда, який запише всі ваші епічні пригоди..."
PERSONALQUEST_Battle_Legend_Desc,"<b>Отримати 15 жетонів переваг за виконані бойові цілі.</b><br><br>Настав час зажити слави. Будь-який найманець може піти й виконати роботу. Але ви не просто якийсь там найманець — ви хочете робити це стильно, щоб історії про ваші битви розповідали барди в тавернах по всьому відомому світу. Якщо ви не залишите після себе легенду, то який сенс було жити?"
PERSONALQUEST_Battle_Legend_Objective_Desc,"Отримати 15 жетонів переваг за виконані бойові цілі"
PERSONALQUEST_Battle_Legend_Objective_PROGRESS_TOOLTIP,"Отримано жетонів переваг за бойові цілі:"
PERSONALQUEST_Battle_Legend_Objective_PROGRESS_TOOLTIP_EMPTY,"Ще не отримано жодного жетона переваги."
PERSONALQUEST_Elemental_Samples,"Зразки стихій"
PERSONALQUEST_Elemental_Samples_COMPLETED,"Дивно, що це місто не кишить науковцями. Хоча, з огляду на те, наскільки небезпечно було досліджувати Похмуру Гавань та її околиці, це не дивно, але саме для цього й існував цей загін найманців. Результати говорять самі за себе: рівень Елементів тут безпрецедентний, а їхні можливості для вас майже безмежні. Ви дякуєте найманцям за допомогу й готуєтеся до довгої подорожі назад до своєї самотньої вежі в глушині — вам потрібно швидко придумати найкращий спосіб приборкати ці сили: незабаром до Похмурої Гавані прибудуть інші ентузіасти стихій."
PERSONALQUEST_Elemental_Samples_Desc,"<b>Виконати 1 завдання в кожній із таких областей: Похмура Гавань, Ліс Кинджалів, Гниле Болото, Гори Вартових, Мідногриві Гори та Туманне Море.</b><br><br>Світ — це таке захопливе місце, особливо території навколо Похмурої Гавані. Так багато інтригуючих явищ. Так багато цінних зразків для збору. Проте це місце дуже небезпечне. Мабуть, найкраще знайти помічників."
PERSONALQUEST_Elemental_Samples_Objective_Desc,"Виконати 1 завдання в кожній області карти"
PERSONALQUEST_Elemental_Samples_Objective_PROGRESS_TOOLTIP,"Виконано сценаріїв у різних регіонах:"
PERSONALQUEST_Elemental_Samples_Objective_PROGRESS_TOOLTIP_EMPTY,"Ще не виконано жодного сценарію."
PERSONALQUEST_Eternal_Wanderer,"Вічний блукач"
PERSONALQUEST_Eternal_Wanderer_COMPLETED,"Про таку красу ви навіть не мріяли. Як найманець, ви побували в місцях, куди мало хто ступав, навіть перетиналися з істотами з інших світів. Побачивши ці природні дива, ви шкодуєте, що зосереджувалися на битвах, які привели вас туди, а не на самих локаціях. Ваш час у ролі найманця навчив вас захищатися, але інший мешканець вимірів може зайняти ваше місце воїна: ви залишаєте Похмуру Гавань у пошуках нових краєвидів та вражень, якими плануєте насолоджуватися без постійного кровопролиття."
PERSONALQUEST_Eternal_Wanderer_Desc,"<b>Виконати 15 різних сценаріїв із базової гри.</b><br><br>У цьому світі є стільки всього, на що варто подивитися. Стільки дивовижних місць, у які важко повірити: засніжені гірські вершини, забуті острови та кришталеві печери. Напевно, всі ці чудеса природи виникли не випадково. Ви хочете відвідати ці місця й поміркувати про їхнє існування. Можливо, це дасть вам глибше розуміння і вашого власного буття."
PERSONALQUEST_Eternal_Wanderer_Objective_Desc,"Виконати 15 різних сценаріїв із базової гри"
PERSONALQUEST_Eternal_Wanderer_Objective_PROGRESS_TOOLTIP,"Виконано сценаріїв:"
PERSONALQUEST_Eternal_Wanderer_Objective_PROGRESS_TOOLTIP_EMPTY,"Ще не виконано жодного сценарію."
PERSONALQUEST_Fearless_Stand,"Безстрашне протистояння"
PERSONALQUEST_Fearless_Stand_COMPLETED,"Раніше вони сміялися з вас, називали коротким та диваком, дивилися зверхньо та обзивали. Ніхто не думав, що ви зможете битися з такими істотами й що велетні падатимуть за вашою примхою: зухвалі поплатилися за свої злочини. Ви довели Похмурій Гавані, що малі можуть бути могутніми, і тепер можете повернутися до свого життя, знаючи, що ніхто більше не наважиться образити вас. Проте щось підказує, що ви не останній з низьких і дивних на вигляд воїнів у цьому місті."
PERSONALQUEST_Fearless_Stand_Desc,"<b>Убити 20 елітних монстрів із базової гри.</b><br><br>Ви ніколи не були найбільшим серед однолітків. Насправді, все дитинство з вас знущалися через те, що ви маленький та виглядаєте інакше. Якби тільки ці кривдники могли бачити вас зараз. Настав час заступитися за малих. Киньте виклик усім тим, хто вважає себе кращим за інших, і доведіть протилежне. Вони лежатимуть у землі так само, як і всі інші."
PERSONALQUEST_Fearless_Stand_Objective_Desc,"Убити 20 елітних монстрів із базової гри"
PERSONALQUEST_Fearless_Stand_Objective_PROGRESS_TOOLTIP,"Убито елітних монстрів:"
PERSONALQUEST_Fearless_Stand_Objective_PROGRESS_TOOLTIP_EMPTY,"Ще не вбито жодного елітного монстра."
PERSONALQUEST_Finding_the_Cure,"У пошуках ліків"
PERSONALQUEST_Finding_the_Cure_COMPLETED,"Перед від'їздом ви дякуєте своєму загону найманців за допомогу, а потім поспішаєте до свого села. Вам цікаво, які таємниці чекають на Похмуру Гавань, але незабаром усі ваші думки повертаються додому — сподіваємось, ви не запізнилися. Сподіваємось, вам більше не доведеться бачити, як хтось помирає."
PERSONALQUEST_Finding_the_Cure_Desc,"<b>Убити 8 Лісових бісів. Потім розблокувати сценарій «Забутий гай» і пройти його до кінця.</b><br><br>Спочатку це був просто кашель. Один із ваших сусідів не давав вам спати ночами. Але потім хвороба поширилася й погіршилася. Кров, фурункули та смерть. Старійшина каже, що ліки можна знайти глибоко в Лісі Кинджалів, а дорогу знають Лісові біси. Якщо ви зможете зібрати достатньо їхньої есенції, то зможете знайти шлях самі."
PERSONALQUEST_Finding_the_Cure_Objective_Desc,"Убити 8 Лісових бісів. Потім розблокувати сценарій «Забутий гай» і пройти його до кінця"
PERSONALQUEST_Finding_the_Cure_Objective_PROGRESS_TOOLTIP,"Убито лісових бісів:"
PERSONALQUEST_Finding_the_Cure_Objective_PROGRESS_TOOLTIP_EMPTY,"Ще не вбито жодного лісового біса."
PERSONALQUEST_Finding_the_Cure_Objective_Step0_Desc,"Убити 8 Лісових бісів"
PERSONALQUEST_Finding_the_Cure_Objective_Step1_Desc,"Пройти сценарій «Забутий гай» до кінця"
PERSONALQUEST_Finding_the_Cure_Objective_Step2_Desc,"Пройти сценарій «Алхімічна лабораторія» до кінця"
PERSONALQUEST_Finding_the_Cure_PROGRESS_COMPLETED_STEP_0,"Вам доводиться змушувати себе не втрачати концентрацію в цій битві, коли ви усвідомлюєте, що щойно зробили. З цим останнім бісом ви зібрали стільки есенції Лісових бісів, скільки можете забрати — цього має вистачити для запланованого. Не можна більше втрачати часу: закінчивши тут, ви мусите використати цю есенцію, щоб відшукати ліки."
PERSONALQUEST_Goliath_Toppler,"Повалення гігантів"
PERSONALQUEST_Goliath_Toppler_COMPLETED,"Безумовно, немає більшого героя, ніж ви. Ви обшукали всю Похмуру Гавань у пошуках найрідкісніших і наймогутніших ворогів і здолали їх у славному бою. Про ваші битви говоритимуть поколіннями, хоча ви не плануєте відпочивати після того, як попрощаєтеся зі своїми відважними товаришами-найманцями й вирушите в дорогу. Можливо, колись ви повернетеся до Похмурої Гавані й побачите, які інші унікальні істоти з'явилися, щоб прийняти ваш виклик, але наразі інші створення чекають за межами цього міста, і ваш героїчний обов'язок — зустрітися з кожним із них у бою."
PERSONALQUEST_Goliath_Toppler_Desc,"<b>Виконати 4 сценарії з босами з базової гри.</b><br><br>Ви досі пам'ятаєте той день, коли на ваше село впала тінь. Усі казали, що це просто хмара, але ви знали правду — це був дракон! Перспектива сповнила вас подивом. Ви знали, що одного дня покинете село в пошуках інших рідкісних і величних істот, і надасте їм честь зустрітися з ними в бою. Зрештою, саме так і роблять справжні герої."
PERSONALQUEST_Goliath_Toppler_Objective_Desc,"Виконати 4 сценарії з босами з базової гри"
PERSONALQUEST_Goliath_Toppler_Objective_PROGRESS_TOOLTIP,"Виконано завдань із босами:"
PERSONALQUEST_Goliath_Toppler_Objective_PROGRESS_TOOLTIP_EMPTY,"Ще не виконано жодного завдання з босами."
PERSONALQUEST_Greed_is_Good,"Жадібність — це добре"
PERSONALQUEST_Greed_is_Good_COMPLETED,"Нарешті. Бажання інших найманців «допомагати одне одному» та «мститися за друзів» уже починали викликати у вас нудоту, ну і сморід покинутих крипт теж. Проте ця заспокійлива, дзвінка вага була варта того. Пограбувавши в місті все, що могли, ви залишаєте Похмуру Гавань — це місто напевно більше ніколи не побачить такого багатого найманця. Ви ледь вийшли за ворота, як у вашій голові вже крутяться нові схеми, щоб зробити ваш гаманець ще важчим: можливо, варто інвестувати у власну Гільдію?"
PERSONALQUEST_Greed_is_Good_Desc,"<b>Мати при собі 200 золотих.</b><br><br>У житті є багато високих цілей — хворі бабусі та епічне кохання. Безглуздо. Важливо лише одне — це гроші: отримати якомога більше й зберегти їх. Дзвін монет у вашому гаманці приносить більше задоволення, ніж будь-що інше у світі, і грець із ними, з тими бабусями."
PERSONALQUEST_Greed_is_Good_Objective_Desc,"Мати при собі 200 золотих"
PERSONALQUEST_Greed_is_Good_Objective_PROGRESS_TOOLTIP,"Зароблено золота:"
PERSONALQUEST_Greed_is_Good_Objective_PROGRESS_TOOLTIP_EMPTY,"Ще не зароблено жодного золотого."
PERSONALQUEST_Implement_of_Light,"Знаряддя Світла"
PERSONALQUEST_Implement_of_Light_COMPLETED,"Усе гірше, ніж ви думали: навіть із сокирою нежить стала надто сильною. Ви більше нічого не можете вдіяти тут, бо ця хвороба пустила коріння набагато глибше, ніж в одному місті. Подякувавши своїм товаришам-найманцям, ви залишаєте Похмуру Гавань, щоб вистежити справжнє джерело цієї темної некромантії. Ви лише сподіваєтеся, що хтось інший боротиметься за Світло в цьому місті, поки ви несете його в темряву за його межами."
PERSONALQUEST_Implement_of_Light_Desc,"<b>Знайти Сокиру згуби черепів у Святилищі некроманта, а потім убити з її допомогою 7 Живих кісток, Трупів або Живих духів.</b><br><br>Навала нежиті насувається на вас. Ви відчуваєте присутність неприродного життя, яке душить цей світ. Ви чули легенди про святу сокиру, якою володіє підлий некромант. Ваша мета проста: вбити некроманта, забрати сокиру та знищити загрозу нежиті."
PERSONALQUEST_Implement_of_Light_Objective_Desc,"Знайти Сокиру згуби черепів у Святилищі некроманта, а потім убити з її допомогою 7 Живих кісток, Трупів або Живих духів"
PERSONALQUEST_Implement_of_Light_Objective_PROGRESS_TOOLTIP,"Убито Живих кісток, Трупів та Живих духів Сокирою згуби черепів:"
PERSONALQUEST_Implement_of_Light_Objective_PROGRESS_TOOLTIP_EMPTY,"Ще жодного не вбито."
PERSONALQUEST_Law_Bringer,"Правоохоронець"
PERSONALQUEST_Law_Bringer_COMPLETED,"Це була важка робота, але хтось мав її зробити, щоб захистити закон і порядок від цих бандитів. Завдяки вам Похмура Гавань стала трохи безпечнішою, і будь-які люди, які наважилися б загрожувати цьому спокою, знають, що їхній егоїзм більше не залишиться безкарним. Ви зробили свою справу, і настав час для заслуженого відпочинку — тепер хтось інший мусить підтримувати порядок у Похмурій Гавані: у цих землях ще повно хаосу."
PERSONALQUEST_Law_Bringer_Desc,"<b>Убити 20 розбійників або культистів.</b><br><br>Існує лише порядок і хаос: те, що приборкане й контрольоване, і те, що ще належить підкорити. Похмура Гавань — це хаос, який потрібно приборкати, і почати варто з панівного беззаконня в навколишніх диких землях. Звісно, від Вермлінгів годі чекати кращого, але люди, які порушують людські закони, не заслуговують на співчуття."
PERSONALQUEST_Law_Bringer_Objective_Desc,"Убити 20 розбійників або культистів"
PERSONALQUEST_Law_Bringer_Objective_PROGRESS_TOOLTIP,"Убито розбійників та культистів:"
PERSONALQUEST_Law_Bringer_Objective_PROGRESS_TOOLTIP_EMPTY,"Ще не вбито жодного розбійника чи культиста."
PERSONALQUEST_Merchant_Class,"Гільдія купців"
PERSONALQUEST_Merchant_Class_COMPLETED,"Це зайняло певний час, але врешті-решт ви зібрали достатньо спорядження, щоб відкрити власну скромну крамницю. Вам більше не потрібно нишпорити по підземеллях, борючись за життя — це можна залишити тим, з ким ви подорожували. Зібравши свої товари, ви вирушаєте до воріт Похмурої Гавані. Частина вас сумуватиме за товаришами-найманцями, але невдовзі ваша голова вже переповнена мріями про те, як стати справжнім купцем — ви впевнені, що вони знайдуть когось нового для керування своїм спорядженням."
PERSONALQUEST_Merchant_Class_Desc,"<b>Мати 2 предмети для голови <sprite name=""InvHead"" color=#0C0C0C>, 2 предмети для тіла <sprite name=""InvBody"" color=#0C0C0C>, 2 предмети для ніг <sprite name=""InvLegs"" color=#0C0C0C>, 3 предмети для однієї чи двох рук <sprite name=""InvOneHand"" color=#0C0C0C>/<sprite name=""InvTwoHands"" color=#0C0C0C> та 4 малі предмети <sprite name=""InvSmallItem"" color=#0C0C0C>.</b><br><br>Гроші — це влада, а купці правлять світом. Ви вважаєте, що якщо зможете зібрати достатньо спорядження, то зможете відкрити власну крамницю деінде й стати справжнім купцем. Нехай дурні продовжують битися в підземеллях за недоїдки."
PERSONALQUEST_Merchant_Class_Objective_Desc,"Мати предмети всіх необхідних типів"
PERSONALQUEST_Merchant_Class_Objective_PROGRESS_TOOLTIP,"Маєте предметів:"
PERSONALQUEST_Merchant_Class_Objective_PROGRESS_TOOLTIP_EMPTY,"Предметів ще немає."
PERSONALQUEST_Piety_in_All_Things,"Благочестя в усьому"
PERSONALQUEST_Piety_in_All_Things_COMPLETED,"Вам довелося затриматися тут довше, ніж хотілося б, але зрештою вам вдалося спрямувати достатньо золота цього нікчемного міста до місцевого святилища, щоб змінити ситуацію на краще. Завдяки вам Похмура Гавань на шляху до того, щоб стати справжнім притулком надії, і, слава Дубу, ви нарешті можете покинути це мерзенне місце й піти добровольцем до іншого занепалого міста — такого, де не так тхне ожилими трупами. Храм Великого Дуба може відправити сюди якусь іншу бідолашну душу доглядати за Похмурою Гаванню."
PERSONALQUEST_Piety_in_All_Things_Desc,"<b>Пожертвувати 120 золотих Святилищу Великого Дуба.</b><br><br>Це злиденне місто Похмура Гавань — справжня яма пороку й жадібності. Здається, ваші легені чорніють від зла, варто лише вдихнути тутешнє повітря. Проте ви погодилися допомогти молодому святилищу Великого Дуба, тому маєте бути сильними. Ви вирушите в кубла гріха навколо цього міста й зробите все можливе, щоб підтримати єдиний промінь надії в місті."
PERSONALQUEST_Piety_in_All_Things_Objective_Desc,"Пожертвувати 120 золотих Святилищу Великого Дуба."
PERSONALQUEST_Piety_in_All_Things_Objective_PROGRESS_TOOLTIP,"Пожертвувано золота Святилищу Великого Дуба:"
PERSONALQUEST_Piety_in_All_Things_Objective_PROGRESS_TOOLTIP_EMPTY,"Ще не пожертвувано жодного золотого."
PERSONALQUEST_Pounds_of_Flesh,"Шматки плоті"
PERSONALQUEST_Pounds_of_Flesh_COMPLETED,"Ви змусили їх заплатити. Вони забрали вашу домівку, батьків, село, ваше життя. Мовчання врятувало вас, але саме ваші дії звільнили вас, змусивши усвідомити, що ви не можете приректи когось іншого на таку саму долю. Попрощавшись із товаришами-найманцями, ви вирушаєте в дикі околиці Похмурої Гавані: іншому воїну доведеться битися разом із вашими друзями — ви мусите покінчити з Вермлінгами раз і назавжди."
PERSONALQUEST_Pounds_of_Flesh_Desc,"<b>Убити 15 вермлінгів-розвідників або вермлінгів-шаманів.</b><br><br>Немовля тихо лежало серед обвуглених руїн колись квітучого села. Ваша тиша — єдине, що врятувало вам життя. Селян попереджали, що ця місцевість небезпечна, але вони все одно побудувалися. Тоді прийшли Вермлінги й убили всіх. Усіх, крім дитини. Але тепер ця дитина виросла й прагне помсти."
PERSONALQUEST_Pounds_of_Flesh_Objective_Desc,"Убити 15 вермлінгів-розвідників або вермлінгів-шаманів"
PERSONALQUEST_Pounds_of_Flesh_Objective_PROGRESS_TOOLTIP,"Убито вермлінгів:"
PERSONALQUEST_Pounds_of_Flesh_Objective_PROGRESS_TOOLTIP_EMPTY,"Ще не вбито жодного вермлінга."
PERSONALQUEST_Seeker_of_Xorn,"Шукач Зорна"
PERSONALQUEST_Seeker_of_Xorn_COMPLETED,"Хмара комах набуває гуманоїдної форми — форми Женця — і формує слова із залізистим, дисонуючим дзижчанням: «Я живий, і чума вивільняється знову. Не тужи за своїм другом, бо він послужив найвеличнішій меті, яку тільки можна уявити. Тепер ми подорожуватимемо з вами й поширюватимемо наш дар. Чума охоплює всіх»."
PERSONALQUEST_Seeker_of_Xorn_Desc,"<b>Виконати 3 сценарії типу «Крипта». Потім розблокувати сценарій «Вонючий льох» і пройти його до кінця.</b><br><br>Ще з дитинства ви відчували заклик Зорна. Колись його шанували як бога, але його паства давно знищена й розсіяна. Але ви чуєте його поклик. Ви вирушите до Похмурої Гавані, як він і наказує. Ви знайдете його останки й звільните його. Чума знову буде прийнята."
PERSONALQUEST_Seeker_of_Xorn_Objective_Desc,"Виконати 3 сценарії типу «Крипта». Потім розблокувати сценарій «Вонючий льох» і пройти його до кінця"
PERSONALQUEST_Seeker_of_Xorn_Objective_PROGRESS_TOOLTIP,"Виконано сценаріїв типу «Крипта»:"
PERSONALQUEST_Seeker_of_Xorn_Objective_PROGRESS_TOOLTIP_EMPTY,"Ще не виконано жодного сценарію типу «Крипта»."
PERSONALQUEST_Seeker_of_Xorn_Objective_Step0_Desc,"Виконати 3 сценарії типу «Крипта»"
PERSONALQUEST_Seeker_of_Xorn_Objective_Step1_Desc,"Пройти сценарій «Вонючий льох» до кінця"
PERSONALQUEST_Seeker_of_Xorn_Objective_Step2_Desc,"Пройти сценарій «Підвал крипти» до кінця"
PERSONALQUEST_Seeker_of_Xorn_Objective_Step3_Desc,"Пройти сценарій «Палац льоду» до кінця"
PERSONALQUEST_Seeker_of_Xorn_PROGRESS_COMPLETED_STEP_0,"Сморід нежиті тільки-но починає зникати з вашого одягу, коли ви відчуваєте поклик Зорна сильніше, ніж будь-коли за останні роки: у трьох останніх криптах, які ви відвідали, є щось... щось, що ви пропустили. Він наказує вам обшукати їх усі, поки не знайдете це, тож ви повертаєтеся до кожної з них, врешті-решт натрапляючи на те, що Зорн наказав вам знайти..."
PERSONALQUEST_Take_Back_the_Trees,"Повернути ліси"
PERSONALQUEST_Take_Back_the_Trees_COMPLETED,"Ви ніколи не повернете своє село, але знання про те, що ті, хто забрав його у вас, поплатилися за свої злочини, для вас достатньо. А з допомогою Орхідів, яких ви визволили від бандитів, ви зможете відбудувати все так, як хотіло б ваше село. Більше не маючи бажання битися, ви прощаєтеся зі своїми дорогими супутниками й залишаєте Похмуру Гавань, щоб жити серед дерев. Ви впевнені, що ліс надішле допомогу як нагороду за добрі справи ваших друзів."
PERSONALQUEST_Take_Back_the_Trees_Desc,"<b>Виконати 3 різні сценарії в Лісі Кинджалів. Потім розблокувати сценарій «Туманна хаща» і пройти його до кінця.</b><br><br>Вони прийшли до вашого села, заявили, що володіють лісом, і вимагали плату. Коли ви вчинили опір, бандити повернулися в ще більшій кількості. Тепер ваша родина й друзі або поневолені, або мертві. Вам потрібно знайти допомогу, виявити їхнє лігво й усе виправити."
PERSONALQUEST_Take_Back_the_Trees_Objective_Desc,"Виконати 3 різні сценарії в Лісі Кинджалів. Потім розблокувати сценарій «Туманна хаща» і пройти його до кінця."
PERSONALQUEST_Take_Back_the_Trees_Objective_PROGRESS_TOOLTIP,"Виконано сценаріїв у Лісі Кинджалів:"
